country,continent,year,pop,gdpPercap,lifeExp
ADRIAN,US,2005,1,120.0,120.0
ADRIAN,US,2006,1,180.0,180.0
ADRIAN,US,2009,1,300.0,300.0
ADRIAN,US,2010,1,,
ADRIAN,US,2011,2,152.5,300.0
ADVANCE,US,2004,1,180.0,180.0
ADVANCE,US,2008,1,14400.0,14400.0
ADVANCE,US,2009,1,20.0,20.0
ADVANCE,US,2013,2,,
AGAWAM,US,1999,1,300.0,300.0
AGAWAM,US,2001,1,90.0,90.0
AGAWAM,US,2002,1,120.0,120.0
AGAWAM,US,2003,2,120.0,120.0
AGAWAM,US,2005,1,2.0,2.0
AGAWAM,US,2013,1,,
AGAWAM,US,2014,1,1200.0,1200.0
AGENCY,US,2000,1,60.0,60.0
AGOURA HILLS,US,2004,1,60.0,60.0
AGOURA HILLS,US,2005,1,30.0,30.0
AGOURA HILLS,US,2006,1,10.0,10.0
AGOURA HILLS,US,2007,1,,
AGOURA HILLS,US,2008,1,600.0,600.0
AGOURA HILLS,US,2012,1,180.0,180.0
AGRA,US,2012,1,60.0,60.0
AGUA DULCE,US,2005,1,,
AGUA DULCE,US,2006,1,3.0,3.0
AGUANGA,US,2012,1,15.0,15.0
AGUILA,US,1999,1,,
AGUILAR,US,2001,1,600.0,600.0
AHWAHNEE,US,2002,1,,
AHWAHNEE,US,2003,1,,
AHWATUKEE,US,2005,1,1.0,1.0
AHWATUKEE,US,2014,1,1200.0,1200.0
AIEA,US,2005,1,120.0,120.0
AIEA,US,2012,1,2.0,2.0
AIEA,US,2013,1,180.0,180.0
AIKEN,US,2003,2,990.0,1800.0
AIKEN,US,2004,2,120.0,120.0
AIKEN,US,2007,1,900.0,900.0
AIKEN,US,2008,2,60.0,60.0
AIKEN,US,2010,1,30.0,30.0
AIKEN,US,2013,1,,
AIKEN,US,2014,1,30.0,30.0
AIKEN COUNTY (RURAL),US,2011,1,120.0,120.0
AINSWORTH,US,2004,1,3.0,3.0
AINSWORTH,US,2007,2,1800.0,1800.0
AINSWORTH,US,2009,1,,
AINSWORTH,US,2012,1,5.0,5.0
AINSWORTH,US,2013,2,150.0,180.0
AINSWORTH,US,2014,1,180.0,180.0
AIRDRIE (CANADA),CA,2003,7,,
AIRDRIE (CANADA),CA,2004,2,610.0,1200.0
AIRDRIE (CANADA),CA,2007,1,2.0,2.0
AIRDRIE (CANADA),CA,2010,1,,
AIRDRIE (CANADA),CA,2011,1,10.0,10.0
AIRDRIE (CANADA),CA,2012,1,30.0,30.0
AIRDRIE (UK/SCOTLAND),GB,2002,1,0.0,0.0
AIRMONT,US,2011,1,600.0,600.0
AIRWAY HEIGHTS,US,2001,1,,
AIRWAY HEIGHTS,US,2010,1,2700.0,2700.0
AIRWAY HEIGHTS,US,2012,2,110.0,180.0
AITKIN,US,2004,1,,
AITKIN,US,2010,1,,
AJAX (CANADA),CA,2001,1,20.0,20.0
AJAX (CANADA),CA,2004,1,900.0,900.0
AJAX (CANADA),CA,2005,1,1.0,1.0
AJAX (CANADA),CA,2006,1,180.0,180.0
AJAX (CANADA),CA,2008,1,120.0,120.0
AJAX (CANADA),CA,2010,1,,
AJAX (CANADA),CA,2013,3,2.5,5.0
AJO,US,2002,1,,
AJO,US,2006,2,4050.0,7200.0
AJO,US,2009,1,,
AJO,US,2011,1,,
AJO (AND SOUTHERN ARIZONA),US,2006,1,7200.0,7200.0
AKELEY,US,2004,2,,
AKIN,US,1999,1,7200.0,7200.0
AKRON,US,1999,1,90.0,90.0
AKRON,US,2000,1,,
AKRON,US,2001,4,3670.0,10800.0
AKRON,US,2002,2,,
AKRON,US,2003,2,7200.0,7200.0
AKRON,US,2004,2,3600.0,7200.0
AKRON,US,2005,1,1800.0,1800.0
AKRON,US,2006,1,240.0,240.0
AKRON,US,2007,2,25.0,25.0
AKRON,US,2008,2,4.0,4.0
AKRON,US,2009,3,30.0,30.0
AKRON,US,2010,3,120.0,180.0
AKRON,US,2011,4,956.25,1800.0
AKRON,US,2012,8,696.0,1800.0
AKRON,US,2013,6,261.6666666666667,420.0
AKRON (ELLET),US,2013,1,60.0,60.0
AKRON (NORTH OF),US,2005,1,5.0,5.0
ALABASTER,US,2000,1,60.0,60.0
ALABASTER,US,2001,1,900.0,900.0
ALABASTER,US,2011,1,1800.0,1800.0
ALABASTER,US,2012,1,,
ALABASTER,US,2013,1,180.0,180.0
ALABASTER,US,2014,1,10.0,10.0
ALACHUA,US,2010,1,600.0,600.0
ALACHUA COUNTY,US,2003,1,,
ALAMEDA,US,1999,1,180.0,180.0
ALAMEDA,US,2001,1,5.0,5.0
ALAMEDA,US,2002,3,182.33333333333334,300.0
ALAMEDA,US,2004,1,180.0,180.0
ALAMEDA,US,2007,1,,
ALAMEDA,US,2010,2,900.0,900.0
ALAMEDA,US,2011,1,0.0,0.0
ALAMEDA,US,2012,3,265.0,600.0
ALAMEDA,US,2013,1,,
ALAMEDA,US,2014,1,5.0,5.0
ALAMO,US,2002,1,,
ALAMO,US,2003,1,0.0,0.0
ALAMO,US,2008,3,660.0,720.0
ALAMO,US,2011,2,302700.0,604800.0
ALAMO,US,2012,1,1.0,1.0
ALAMOGORDO,US,1999,1,900.0,900.0
ALAMOGORDO,US,2000,1,,
ALAMOGORDO,US,2001,2,600.0,600.0
ALAMOGORDO,US,2008,2,620.0,1200.0
ALAMOGORDO,US,2009,1,420.0,420.0
ALAMOGORDO,US,2010,1,600.0,600.0
ALAMOGORDO,US,2011,1,,
ALAMOSA,US,1999,2,45.0,45.0
ALAMOSA,US,2005,1,90.0,90.0
ALAMOSA,US,2007,1,,
ALAMOSA,US,2013,1,600.0,600.0
ALAMOSA (EAST OF&#44 ON HWY 160),US,2001,1,,
ALAMOSA (MADANO PASS),US,2005,1,,
ALAMOSA (WEST OF),US,2002,1,300.0,300.0
ALANSON,US,2014,1,1200.0,1200.0
ALBANY,US,1998,1,,
ALBANY,US,1999,10,187.5,600.0
ALBANY,US,2001,3,450.0,900.0
ALBANY,US,2002,13,31.8,300.0
ALBANY,US,2003,9,159.22222222222223,900.0
ALBANY,US,2004,7,170.0,300.0
ALBANY,US,2005,3,155.0,300.0
ALBANY,US,2006,3,120.0,120.0
ALBANY,US,2007,4,51.666666666666664,120.0
ALBANY,US,2008,6,125.83333333333333,600.0
ALBANY,US,2009,3,300.0,300.0
ALBANY,US,2010,4,40.5,120.0
ALBANY,US,2011,7,2169.1666666666665,10800.0
ALBANY,US,2012,10,3620.4285714285716,21600.0
ALBANY,US,2013,11,490.0,3600.0
ALBANY,US,2014,4,375.5,900.0
ALBANY (3 HRS W OF: ON INTERSTATE-90 NEAR EXIT 44),US,2014,1,45.0,45.0
ALBANY (ABOUT 10 MINUTES FROM),US,2009,1,,
ALBANY (AREA),US,1999,1,180.0,180.0
ALBANY (CANADA),CA,2009,1,,
ALBANY (MAYBE NEW YORK),US,2002,1,2.0,2.0
